Date,Close_UNG,High_UNG,Low_UNG,Open_UNG,Volume_UNG,Return,MA_5,Vol_5,Return_lag1,Return_lag10,GPRD,GPRD_THREAT,EVENT,geo_keyword_hits,sentiment,event_dummy
2007-05-03,6736.64013671875,6778.8798828125,6411.52001953125,6540.7998046875,2842,0.026926850109565637,6633.72802734375,0.02015988178442036,0.000976547584287113,-0.004136282895001342,124.79,113.2,,27,0.021363928034140802,0
2007-05-04,6696.9599609375,6873.60009765625,6656.0,6740.47998046875,1492,-0.005890202679072809,6640.89599609375,0.015785334321388057,0.026926850109565637,-0.020174059138821532,96.19,104.98,,16,0.014170123228700636,0
2007-05-07,6611.2001953125,6667.52001953125,6590.72021484375,6624.0,792,-0.012805775475025372,6631.680078125,0.01702300426538519,-0.005890202679072809,0.02947111541160763,144.60,142.1,,14,0.048019874616513275,0
2007-05-08,6503.68017578125,6549.759765625,6464.0,6549.759765625,780,-0.016263313219207043,6621.69609375,0.017169955626526796,-0.012805775475025372,0.0017647088742722694,69.01,47.26,,20,0.009413803305016696,0
2007-05-09,6588.16015625,6588.16015625,6483.2001953125,6508.7998046875,1684,0.012989565628294786,6627.328125,0.018385097128007042,-0.016263313219207043,0.009199475813258973,91.66,89.36,,12,0.010940215222130114,0
2007-05-10,6566.39990234375,6612.47998046875,6496.0,6585.60009765625,774,-0.0033029333516743087,6593.280078125,0.011347625901012112,0.012989565628294786,-0.022304140714678677,125.00,149.14,,16,0.026267223165957344,0
2007-05-11,6720.0,6743.0400390625,6508.7998046875,6526.72021484375,897,0.023391828085497002,6597.8880859375,0.01697118171539164,-0.0033029333516743087,0.03233487548203029,149.00,172.88,,21,0.02036364245225005,0
2007-05-14,6757.1201171875,6890.240234375,6735.35986328125,6745.60009765625,877,0.005523826962425593,6627.0720703125,0.01518237360790389,0.023391828085497002,-0.000576529467069764,183.72,249.13,,27,0.02293109668109668,0
2007-05-15,6677.759765625,6752.0,6667.52001953125,6752.0,406,-0.011744700432457567,6661.88798828125,0.013702193829316445,0.005523826962425593,-0.015573881652259036,183.72,249.13,,24,-0.005309447783621336,0
2007-05-16,6732.7998046875,6745.60009765625,6598.39990234375,6598.39990234375,347,0.008242290976957278,6690.81591796875,0.013197535958827649,-0.011744700432457567,0.000976547584287113,183.72,249.13,,28,0.012787234042553192,0
2007-05-17,6867.2001953125,6890.240234375,6688.0,6718.72021484375,1156,0.019962035783601895,6750.9759765625,0.013876808665219065,0.008242290976957278,0.026926850109565637,183.72,249.13,,29,0.023372848436139574,0
2007-05-18,6743.0400390625,6999.0400390625,6730.240234375,6937.60009765625,1109,-0.01808017135349438,6755.583984375,0.01548155644573042,0.019962035783601895,-0.005890202679072809,183.72,249.13,,32,0.01392624795167168,0
2007-05-21,6754.56005859375,6773.759765625,6662.39990234375,6726.39990234375,1002,0.0017084311326218682,6755.07197265625,0.015282064730721637,-0.01808017135349438,-0.012805775475025372,183.72,249.13,,21,0.006751211751211752,0
