Date,Close_ZW=F,High_ZW=F,Low_ZW=F,Open_ZW=F,Volume_ZW=F,Return,Vol_5,MA_5,DATE,GPRD,GPRD_THREAT,EVENT
2000-08-14,238.5,239.0,236.0,237.0,2579,,,236.6,2000-08-14,41.76,52.08,
2000-08-15,240.5,241.5,238.25,239.0,3775,,,237.4,2000-08-15,67.06,61.34,
2000-08-16,243.5,244.5,241.0,241.0,6007,,,239.0,2000-08-16,57.11,61.74,
2000-08-17,239.5,245.5,238.5,244.75,4709,,,239.75,2000-08-17,39.47,43.76,
2000-08-18,238.5,241.25,237.5,239.5,5945,,,240.1,2000-08-18,32.45,40.47,
2000-08-21,236.25,238.75,234.0,238.75,5510,,,239.65,2000-08-21,46.71,71.7,
2000-08-22,234.75,238.0,234.5,236.5,5745,,,238.5,2000-08-22,46.96,66.08,
2000-08-23,233.75,235.25,232.0,234.75,3472,,,236.55,2000-08-23,45.92,56.01,
2000-08-24,240.5,240.5,233.75,234.0,8565,,,236.75,2000-08-24,45.18,46.97,
2000-08-25,241.5,244.25,240.0,240.0,8198,,,237.35,2000-08-25,50.92,54.79,
2000-08-28,242.5,247.0,241.5,245.0,7918,,,238.6,2000-08-28,100.5,93.6,
2000-08-29,250.25,251.0,243.5,243.5,10671,,,241.7,2000-08-29,50.46,65.94,
2000-08-30,246.25,250.75,245.75,249.0,9,,,244.2,2000-08-30,58.01,60.93,
2000-08-31,251.0,251.0,248.0,248.0,11,,,246.3,2000-08-31,42.07,32.65,
2000-09-01,251.0,251.75,250.75,250.75,11,,,248.2,2000-09-01,45.34,55.29,
2000-09-05,250.25,251.0,250.75,250.75,11,,,249.75,2000-09-05,52.97,29.37,
2000-09-06,253.0,251.0,250.75,250.75,11,,,250.3,2000-09-06,54.75,72.85,
2000-09-08,249.5,251.0,250.75,250.75,11,,,250.95,2000-09-08,36.84,35.01,
2000-09-11,250.5,251.0,250.75,250.75,11,,,250.85,2000-09-11,59.75,66.24,
2000-09-12,249.25,251.0,250.75,250.75,4,,,250.5,2000-09-12,69.61,84.19,
2000-09-13,245.0,251.0,250.75,250.75,4,,,249.45,2000-09-13,60.9,88.07,
2000-09-14,242.0,251.0,250.75,250.75,100,,,247.25,2000-09-14,53.63,80.7,
2000-09-15,254.5,254.5,253.5,254.0,199,,,248.25,2000-09-15,60.37,74.21,
2000-09-18,252.25,253.5,252.0,253.5,112,,,248.6,2000-09-18,95.46,116.42,
2000-09-19,256.5,256.5,255.25,256.0,173,,,250.05,2000-09-19,64.21,63.1,
2000-09-20,248.0,249.25,248.0,248.75,384,,,250.65,2000-09-20,60.27,71.0,
2000-09-21,247.0,250.0,247.0,248.75,101,,,251.65,2000-09-21,51.0,72.7,
2000-09-22,247.5,248.25,246.75,247.25,278,,,250.25,2000-09-22,59.46,82.41,
2000-09-25,255.0,255.0,251.5,251.5,55,,,250.8,2000-09-25,44.38,63.26,
2000-09-26,254.25,254.5,253.25,253.75,122,,,250.35,2000-09-26,55.26,72.55,
2000-09-27,253.0,255.0,253.0,254.75,269,,,251.35,2000-09-27,45.23,57.52,
2000-09-28,259.75,259.75,258.5,258.75,229,,,253.9,2000-09-28,21.76,28.15,
2000-09-29,258.0,259.5,258.0,259.25,843,,,256.0,2000-09-29,32.67,37.62,
2000-10-02,270.5,272.0,265.5,265.5,142,,,259.1,2000-10-02,39.24,43.51,
2000-10-03,269.0,269.0,266.0,267.25,176,,,262.05,2000-10-03,66.31,42.01,
2000-10-04,266.75,268.5,266.75,268.0,306,,,264.8,2000-10-04,71.06,86.36,
2000-10-05,265.25,267.5,265.25,266.5,48,,,265.9,2000-10-05,42.3,39.57,
2000-10-06,266.5,267.5,266.0,267.0,436,,,267.6,2000-10-06,82.25,117.92,
2000-10-09,267.5,269.25,267.5,269.25,61,,,267.0,2000-10-09,114.97,167.3,
2000-10-10,267.0,268.0,266.5,267.5,252,,,266.6,2000-10-10,103.62,138.98,
2000-10-11,273.5,275.5,273.5,275.25,292,,,267.95,2000-10-11,82.2,91.13,
2000-10-12,277.25,277.25,275.0,276.75,218,,,270.35,2000-10-12,28.65,25.99,
2000-10-13,272.75,273.25,272.0,272.5,301,,,271.6,2000-10-13,195.98,176.54,
2000-10-16,266.0,270.0,265.5,267.0,210,,,271.3,2000-10-16,110.09,138.7,
2000-10-17,271.5,274.0,271.0,271.0,55,,,272.2,2000-10-17,96.69,83.0,
2000-10-18,266.75,270.0,266.75,268.0,176,,,270.85,2000-10-18,77.66,71.26,
2000-10-19,264.75,264.75,263.5,264.0,195,,,268.35,2000-10-19,72.33,84.2,
2000-10-20,259.5,261.0,258.5,259.75,114,,,265.7,2000-10-20,57.73,59.43,
2000-10-23,260.0,260.0,259.0,260.0,51,,,264.5,2000-10-23,85.02,65.64,
2000-10-24,258.5,258.5,257.25,257.75,72,,,261.9,2000-10-24,65.13,77.37,
2000-10-25,256.5,257.75,256.5,257.5,52,,,259.85,2000-10-25,45.73,50.7,
2000-10-26,255.5,256.0,254.75,255.0,44,,,258.0,2000-10-26,64.76,79.78,
2000-10-27,256.25,257.5,256.25,256.5,137,,,257.35,2000-10-27,35.33,31.63,
2000-10-30,260.5,260.5,258.25,259.0,110,,,257.45,2000-10-30,59.75,38.64,
2000-10-31,253.5,256.0,253.5,256.0,154,,,256.45,2000-10-31,86.54,84.37,
2000-11-02,256.75,258.0,255.0,255.0,91,,,256.5,2000-11-02,42.63,29.19,
2000-11-03,261.5,262.0,260.0,260.0,113,,,257.7,2000-11-03,75.16,89.29,
2000-11-06,265.5,265.5,263.75,264.0,127,,,259.55,2000-11-06,54.36,63.81,
2000-11-07,261.5,263.0,261.5,263.0,71,,,259.75,2000-11-07,45.07,37.48,
2000-11-08,263.25,263.5,262.25,263.25,153,,,261.7,2000-11-08,60.38,50.21,
2000-11-09,266.25,266.25,265.75,265.75,210,,,263.6,2000-11-09,44.27,36.81,
2000-11-10,256.25,258.25,256.0,258.25,98,,,262.55,2000-11-10,33.78,21.6,
2000-11-13,257.0,258.0,255.5,258.0,69,,,260.85,2000-11-13,43.06,38.56,
2000-11-14,258.0,258.0,256.75,258.0,90,,,260.15,2000-11-14,47.85,42.12,
2000-11-15,255.5,258.0,255.5,256.0,158,,,258.6,2000-11-15,32.48,45.7,
2000-11-16,253.0,255.25,253.0,254.5,52,,,255.95,2000-11-16,23.59,31.39,
2000-11-17,256.25,256.25,255.0,255.0,94,,,255.95,2000-11-17,29.72,44.93,
2000-11-20,257.75,258.0,256.5,256.5,134,,,256.1,2000-11-20,59.21,54.71,
2000-11-21,255.75,256.5,254.5,255.0,140,,,255.65,2000-11-21,54.06,49.95,
2000-11-22,257.5,258.0,253.75,255.25,166,,,256.05,2000-11-22,69.8,77.39,
2000-11-24,260.25,263.0,258.0,259.0,57,,,257.5,2000-11-24,80.65,99.35,
2000-11-27,261.0,261.75,260.75,261.0,102,,,258.45,2000-11-27,37.72,22.81,
2000-11-28,256.5,257.25,255.5,257.25,75,,,258.2,2000-11-28,59.21,62.19,
2000-11-29,256.25,256.25,254.5,254.5,314,,,258.3,2000-11-29,47.68,54.26,
2000-11-30,252.5,253.5,251.5,251.5,70,,,257.3,2000-11-30,46.15,51.17,
2000-12-01,256.25,257.5,256.0,256.0,2,,,256.5,2000-12-01,25.29,23.36,
2000-12-04,260.5,260.75,260.5,260.5,2,,,256.4,2000-12-04,44.26,50.96,
2000-12-05,262.0,260.5,260.5,260.5,40,,,257.5,2000-12-05,27.78,25.67,
2000-12-15,267.5,269.0,267.5,268.0,259,,,259.75,2000-12-15,58.41,64.76,
2000-12-18,266.75,268.0,265.0,265.5,40,,,262.6,2000-12-18,58.31,72.73,
2000-12-19,269.5,269.5,267.0,269.0,82,,,265.25,2000-12-19,46.42,60.66,
2000-12-20,273.5,274.25,272.75,274.0,45,,,267.85,2000-12-20,71.74,88.19,
2000-12-21,271.75,271.75,270.5,271.0,258,,,269.8,2000-12-21,75.59,89.8,
2000-12-22,275.75,275.75,273.0,273.0,57,,,271.45,2000-12-22,38.66,44.51,
2000-12-27,274.0,274.5,273.0,274.0,56,,,272.9,2000-12-27,60.89,40.51,
2000-12-28,272.0,273.5,272.0,272.5,37,,,273.4,2000-12-28,56.21,74.78,
2000-12-29,272.75,273.0,271.5,271.5,295,,,273.25,2000-12-29,53.2,58.98,
2001-01-02,277.25,278.5,277.0,278.5,90,,,274.35,2001-01-02,48.01,58.07,
2001-01-03,275.75,276.75,275.5,276.25,352,,,274.35,2001-01-03,31.82,23.52,
2001-01-04,283.0,283.25,282.5,283.0,218,,,276.15,2001-01-04,55.39,59.88,
2001-01-05,284.25,284.5,284.0,284.5,138,,,278.6,2001-01-05,66.86,75.81,
2001-01-08,281.25,283.5,281.25,283.5,276,,,280.3,2001-01-08,57.61,77.84,
2001-01-09,281.0,283.0,281.0,282.5,152,,,281.05,2001-01-09,59.38,67.56,
2001-01-10,285.5,286.0,284.5,284.5,237,,,283.0,2001-01-10,45.01,54.89,
2001-01-11,288.25,289.0,288.0,288.5,243,,,284.05,2001-01-11,60.47,61.21,
2001-01-12,288.0,289.5,288.0,289.0,181,,,284.8,2001-01-12,55.77,69.56,
2001-01-16,287.0,288.0,287.0,287.75,269,,,285.95,2001-01-16,64.82,73.76,
2001-01-17,283.0,284.5,283.0,284.5,127,,,286.35,2001-01-17,44.02,41.18,
2001-01-18,284.25,284.25,283.0,283.5,79,,,286.1,2001-01-18,44.7,53.69,
2001-01-19,285.5,286.0,284.25,284.5,127,,,285.55,2001-01-19,43.59,49.83,
2001-01-22,286.0,286.25,285.0,286.0,79,,,285.15,2001-01-22,28.43,35.47,
2001-01-23,285.25,286.0,284.5,285.5,36,,,284.8,2001-01-23,62.56,62.43,
2001-01-24,286.5,286.5,285.75,286.0,40,,,285.5,2001-01-24,52.95,63.6,
2001-01-25,285.0,285.5,285.0,285.5,184,,,285.65,2001-01-25,37.83,51.12,
2001-01-26,278.75,280.5,278.75,279.0,40,,,284.3,2001-01-26,36.53,37.38,
2001-01-29,274.75,276.25,274.75,276.0,144,,,282.05,2001-01-29,36.16,30.07,
2001-01-30,271.0,271.0,269.0,269.25,129,,,279.2,2001-01-30,15.29,15.26,
2001-01-31,271.0,271.0,268.0,270.5,49,,,276.1,2001-01-31,47.83,64.64,
2001-02-01,273.0,273.5,272.5,273.5,106,,,273.7,2001-02-01,45.34,41.89,
2001-02-02,269.25,271.0,269.25,271.0,114,,,271.8,2001-02-02,59.15,73.78,
2001-02-05,271.5,276.0,271.5,272.5,462,,,271.15,2001-02-05,44.61,43.28,
2001-02-06,267.5,268.5,265.75,267.5,23,,,270.45,2001-02-06,71.01,94.47,
2001-02-07,267.0,267.0,266.25,267.0,49,,,269.65,2001-02-07,28.58,47.54,
2001-02-08,267.5,267.75,267.0,267.0,23,,,268.55,2001-02-08,33.18,29.71,
2001-02-09,267.25,267.5,267.0,267.0,52,,,268.15,2001-02-09,36.68,42.23,
2001-02-12,266.0,267.25,265.75,266.0,141,,,267.05,2001-02-12,56.63,82.4,
2001-02-14,265.0,265.0,263.0,263.5,162,,,266.55,2001-02-14,39.4,40.32,
2001-02-15,268.5,268.5,267.75,268.0,174,,,266.85,2001-02-15,55.21,66.78,
2001-02-16,269.0,269.0,267.0,267.0,162,,,267.15,2001-02-16,34.33,38.06,
2001-02-20,267.0,268.0,265.25,265.25,28,,,267.1,2001-02-20,93.17,109.03,
2001-02-21,267.0,267.0,266.25,267.0,83,,,267.3,2001-02-21,80.58,95.73,
2001-02-22,263.0,263.0,262.25,262.5,62,,,266.9,2001-02-22,60.87,71.71,
2001-02-26,259.75,260.0,259.5,260.0,18,,,265.15,2001-02-26,33.39,30.85,
2001-02-27,260.0,260.25,259.0,260.25,26,,,263.35,2001-02-27,52.83,77.52,
2001-02-28,257.5,269.0,257.5,258.5,8,,,261.45,2001-02-28,70.06,74.57,
2001-03-01,267.75,267.75,265.75,267.5,8,,,261.6,2001-03-01,43.49,48.22,
2001-03-02,266.75,267.75,265.75,267.5,1,,,262.35,2001-03-02,85.82,85.63,
2001-03-06,274.0,274.25,274.0,274.0,1,,,265.2,2001-03-06,52.43,56.42,
2001-03-07,272.25,274.0,274.0,274.0,2,,,267.65,2001-03-07,62.61,66.26,
2001-03-09,268.0,268.0,268.0,268.0,2,,,269.75,2001-03-09,48.48,71.66,
2001-03-12,277.0,270.25,268.0,268.0,133,,,271.6,2001-03-12,57.61,53.89,
2001-03-15,284.0,285.0,283.5,284.75,266,,,275.05,2001-03-15,55.61,60.32,
2001-03-16,273.0,274.5,273.0,273.75,97,,,274.85,2001-03-16,90.24,101.66,
2001-03-19,271.25,271.25,270.0,270.0,68,,,274.65,2001-03-19,59.47,75.63,
2001-03-20,268.75,269.5,267.5,269.5,108,,,274.8,2001-03-20,51.05,61.32,
2001-03-21,269.75,271.25,269.75,271.25,58,,,273.35,2001-03-21,66.87,94.1,
2001-03-22,267.5,268.0,266.0,267.0,196,,,270.05,2001-03-22,63.47,73.07,
2001-03-23,261.5,261.75,260.25,260.25,70,,,267.75,2001-03-23,62.29,84.75,
2001-03-26,264.5,265.0,263.25,263.25,178,,,266.4,2001-03-26,86.32,83.74,
2001-03-27,269.25,269.5,267.25,268.0,50,,,266.5,2001-03-27,79.71,90.14,
2001-03-28,269.0,269.0,266.5,266.75,101,,,266.35,2001-03-28,55.45,67.95,
2001-03-29,265.0,266.0,263.75,266.0,22,,,265.85,2001-03-29,62.45,54.01,
2001-04-02,260.5,260.5,259.0,260.0,29,,,265.65,2001-04-02,42.06,40.81,
2001-04-04,263.25,263.25,262.25,262.25,60,,,265.4,2001-04-04,56.5,59.34,
2001-04-05,267.5,268.0,266.25,266.5,16,,,265.05,2001-04-05,54.34,69.84,
2001-04-06,266.75,266.75,265.5,266.0,25,,,264.6,2001-04-06,50.75,46.89,
2001-04-09,264.0,264.5,262.5,262.5,64,,,264.4,2001-04-09,31.65,35.09,
2001-04-10,261.75,263.0,261.5,261.5,160,,,264.65,2001-04-10,45.87,54.49,
2001-04-11,257.0,257.75,256.5,257.75,89,,,263.4,2001-04-11,33.13,40.07,
2001-04-12,263.0,263.0,261.25,261.25,87,,,262.5,2001-04-12,45.03,41.61,
2001-04-16,270.5,270.5,267.25,267.25,55,,,263.25,2001-04-16,81.27,57.92,
2001-04-17,269.5,270.5,268.0,269.5,45,,,264.35,2001-04-17,72.24,74.37,
2001-04-18,265.75,267.5,265.5,265.75,43,,,265.15,2001-04-18,61.34,72.87,
2001-04-19,269.5,269.5,268.0,269.0,10,,,267.65,2001-04-19,33.72,38.83,
2001-04-20,267.75,267.75,267.0,267.0,66,,,268.6,2001-04-20,47.03,58.66,
2001-04-23,268.0,268.25,267.25,267.25,6,,,268.1,2001-04-23,48.71,57.87,
2001-04-24,264.75,265.25,263.75,263.75,25,,,267.15,2001-04-24,45.29,64.56,
2001-04-25,265.0,265.0,264.5,264.5,6,,,267.0,2001-04-25,81.61,110.58,
2001-04-26,270.25,270.25,268.25,268.25,42,,,267.15,2001-04-26,56.41,38.38,
2001-04-27,268.75,270.5,268.75,270.25,45,,,267.35,2001-04-27,60.68,64.22,
2001-04-30,265.75,268.75,265.25,265.25,15,,,266.9,2001-04-30,38.64,29.21,
2001-05-01,275.5,275.5,273.5,273.5,15,,,269.05,2001-05-01,43.06,49.58,
2001-05-02,271.0,275.5,273.5,273.5,15,,,270.25,2001-05-02,84.64,116.49,
2001-05-03,268.25,268.25,268.25,268.25,15,,,269.85,2001-05-03,68.38,80.02,
2001-05-04,263.0,263.0,263.0,263.0,15,,,268.7,2001-05-04,86.78,94.55,
2001-05-07,263.0,263.0,263.0,263.0,15,,,268.15,2001-05-07,70.01,79.66,
2001-05-09,257.75,257.75,257.75,257.75,3,,,264.6,2001-05-09,90.08,77.32,
2001-05-10,256.5,256.5,256.5,256.5,3,,,261.7,2001-05-10,42.89,16.78,
2001-05-11,260.0,256.5,256.5,256.5,3,,,260.05,2001-05-11,58.65,55.74,
2001-05-14,260.0,256.5,256.5,256.5,401,,,259.45,2001-05-14,49.76,47.29,
2001-05-15,279.5,281.75,279.0,279.25,203,,,262.75,2001-05-15,37.54,36.41,
2001-05-16,277.0,277.5,276.5,277.0,121,,,266.6,2001-05-16,52.26,57.94,
2001-05-17,275.0,275.75,274.75,275.75,102,,,270.3,2001-05-17,71.0,81.43,
2001-05-18,275.5,277.0,275.0,276.0,169,,,273.4,2001-05-18,64.62,70.09,
2001-05-21,269.75,270.75,269.0,270.75,293,,,275.35,2001-05-21,52.19,35.74,
2001-05-22,263.0,265.0,263.0,264.5,87,,,272.05,2001-05-22,59.1,36.21,
2001-05-23,262.0,262.0,260.0,260.0,72,,,269.05,2001-05-23,48.36,55.29,
2001-05-24,261.75,261.75,260.5,260.5,34,,,266.4,2001-05-24,50.72,31.07,
2001-05-25,262.5,262.5,261.75,261.75,272,,,263.8,2001-05-25,49.35,53.11,
2001-05-29,260.5,262.25,260.25,260.5,149,,,261.95,2001-05-29,74.44,80.47,
2001-05-30,267.5,267.5,265.75,265.75,277,,,262.85,2001-05-30,60.61,80.64,
2001-05-31,264.75,264.75,264.0,264.25,149,,,263.4,2001-05-31,57.75,61.11,
2001-06-01,269.0,269.0,266.75,266.75,227,,,264.85,2001-06-01,72.94,96.03,
2001-06-04,269.5,269.75,265.0,269.5,195,,,266.25,2001-06-04,80.7,73.21,
2001-06-05,263.5,263.5,263.0,263.0,93,,,266.85,2001-06-05,83.13,90.4,
2001-06-06,259.5,260.5,259.5,260.0,153,,,265.25,2001-06-06,58.79,68.43,
2001-06-07,262.75,263.5,262.0,262.0,63,,,264.85,2001-06-07,63.36,67.44,
2001-06-08,265.0,265.0,263.25,264.25,119,,,264.05,2001-06-08,69.07,82.7,
2001-06-12,260.5,261.75,260.5,261.5,94,,,262.25,2001-06-12,98.08,99.97,
2001-06-13,264.5,264.5,262.75,262.75,323,,,262.45,2001-06-13,89.29,98.99,
2001-06-14,259.25,262.0,259.25,261.75,94,,,262.4,2001-06-14,64.5,81.52,
2001-06-15,258.25,258.75,258.0,258.0,328,,,261.5,2001-06-15,64.15,67.89,
2001-06-18,256.5,256.5,255.0,256.0,279,,,259.8,2001-06-18,75.61,107.78,
2001-06-19,264.0,264.0,263.0,263.0,328,,,260.5,2001-06-19,83.23,105.2,
2001-06-20,262.0,262.0,261.0,261.0,69,,,260.0,2001-06-20,94.73,103.39,
2001-06-21,255.0,256.0,254.5,254.5,71,,,259.15,2001-06-21,86.53,116.93,
2001-06-22,254.75,256.0,254.75,255.0,62,,,258.45,2001-06-22,47.41,54.2,
2001-06-25,251.0,252.0,251.0,251.0,119,,,257.35,2001-06-25,62.23,73.05,
2001-06-26,248.0,248.0,245.0,245.25,77,,,254.15,2001-06-26,68.74,70.77,
2001-06-27,249.0,249.0,247.75,247.75,170,,,251.55,2001-06-27,70.61,81.69,
2001-06-28,249.0,249.0,247.5,247.5,116,,,250.35,2001-06-28,65.99,57.07,
2001-06-29,244.75,244.75,243.0,243.0,7,,,248.35,2001-06-29,41.78,54.59,
2001-07-02,246.25,256.0,246.25,256.0,30,,,247.4,2001-07-02,91.49,95.09,
2001-07-03,250.0,250.75,250.0,250.25,30,,,247.8,2001-07-03,77.12,93.27,
2001-07-05,253.5,250.25,250.0,250.25,30,,,248.7,2001-07-05,86.0,108.5,
2001-07-06,257.0,257.0,257.0,257.0,3,,,250.3,2001-07-06,75.72,94.44,
2001-07-09,257.75,257.75,257.75,257.75,3,,,252.9,2001-07-09,26.2,24.9,
2001-07-10,258.25,257.75,257.75,257.75,3,,,255.3,2001-07-10,43.9,33.69,
2001-07-11,262.0,262.0,262.0,262.0,18,,,257.7,2001-07-11,50.34,50.23,
2001-07-12,265.0,267.0,265.0,267.0,581,,,260.0,2001-07-12,37.98,31.58,
2001-07-13,287.75,291.75,287.0,289.75,234,,,266.15,2001-07-13,61.94,58.87,
2001-07-16,283.0,284.5,282.0,284.5,581,,,271.2,2001-07-16,96.97,122.57,
2001-07-17,290.0,292.75,282.25,282.25,234,,,277.55,2001-07-17,58.72,68.93,
2001-07-18,285.75,290.0,283.0,289.0,427,,,282.3,2001-07-18,66.89,63.57,
2001-07-19,291.0,293.25,288.25,289.0,238,,,287.5,2001-07-19,62.91,86.43,
2001-07-20,289.0,291.0,288.25,290.0,427,,,287.75,2001-07-20,52.29,56.27,
2001-07-23,281.0,283.0,279.0,279.25,246,,,287.35,2001-07-23,60.78,63.18,
2001-07-24,288.0,288.5,285.0,285.0,95,,,286.95,2001-07-24,85.29,79.43,
2001-07-25,284.75,284.75,281.5,281.5,149,,,286.75,2001-07-25,78.7,65.44,
2001-07-26,283.5,284.5,282.5,284.0,95,,,285.25,2001-07-26,59.73,81.28,
2001-07-27,281.5,281.5,279.5,279.5,137,,,283.75,2001-07-27,63.01,79.84,
2001-07-30,279.5,281.0,279.0,279.75,117,,,283.45,2001-07-30,49.94,41.53,
2001-07-31,275.0,276.0,274.5,275.0,71,,,280.85,2001-07-31,48.12,43.09,
2001-08-01,279.25,279.5,277.0,277.5,117,,,279.75,2001-08-01,52.17,48.8,
2001-08-02,276.5,277.0,274.0,274.0,71,,,278.35,2001-08-02,70.18,88.7,
2001-08-03,270.25,271.5,269.5,269.5,15,,,276.1,2001-08-03,38.26,42.42,
2001-08-06,265.0,266.5,264.5,264.75,59,,,273.2,2001-08-06,51.63,46.24,
2001-08-07,267.5,268.25,266.25,266.25,24,,,271.7,2001-08-07,25.97,37.01,
2001-08-08,269.5,269.5,268.0,268.0,69,,,269.75,2001-08-08,56.26,38.52,
2001-08-09,270.0,270.0,268.75,268.75,24,,,268.45,2001-08-09,51.98,52.83,
2001-08-10,271.5,272.25,271.0,271.0,59,,,268.7,2001-08-10,85.26,42.01,
2001-08-13,271.0,271.0,269.5,270.0,56,,,269.9,2001-08-13,103.88,108.77,
2001-08-14,270.0,272.25,270.0,272.0,87,,,270.4,2001-08-14,101.15,90.11,
2001-08-15,269.0,269.25,268.0,268.75,56,,,270.3,2001-08-15,92.75,93.65,
2001-08-16,267.0,267.0,266.25,266.75,33,,,269.7,2001-08-16,66.2,55.04,
2001-08-17,268.0,269.0,267.25,267.25,13,,,269.0,2001-08-17,57.39,63.63,
2001-08-20,264.0,265.0,263.5,265.0,27,,,267.6,2001-08-20,42.87,51.85,
2001-08-21,267.0,267.5,266.0,266.0,59,,,267.0,2001-08-21,62.78,67.56,
2001-08-22,268.5,268.5,267.5,268.0,110,,,266.9,2001-08-22,66.63,42.21,
2001-08-23,271.25,271.75,271.25,271.25,160,,,267.75,2001-08-23,65.29,51.93,
2001-08-24,276.0,276.75,275.25,275.25,110,,,269.35,2001-08-24,86.67,58.72,
2001-08-27,272.75,273.0,271.0,271.25,87,,,271.1,2001-08-27,56.83,54.01,
2001-08-28,275.25,275.25,273.5,273.5,6,,,272.75,2001-08-28,79.14,81.48,
2001-08-29,270.0,270.0,269.0,270.0,87,,,273.05,2001-08-29,57.7,45.16,
2001-08-30,274.25,274.5,274.25,274.5,1,,,273.65,2001-08-30,55.77,37.1,
2001-09-04,277.0,277.0,277.0,277.0,1,,,273.85,2001-09-04,59.48,61.83,
2001-09-05,276.5,277.0,277.0,277.0,1,,,274.6,2001-09-05,39.15,65.11,
2001-09-06,274.75,274.75,274.75,274.75,1,,,274.5,2001-09-06,37.73,44.83,
2001-09-10,271.0,271.0,271.0,271.0,1,,,274.7,2001-09-10,38.24,28.9,
2001-09-11,271.0,271.0,271.0,271.0,1,,,274.05,2001-09-11,154.07,98.55,
2001-09-12,271.0,271.0,271.0,271.0,6,,,272.85,2001-09-12,725.51,294.28,
2001-09-13,274.5,274.5,274.5,274.5,170,,,272.45,2001-09-13,633.48,206.31,
2001-09-17,272.25,272.25,269.0,271.0,129,,,271.95,2001-09-17,744.77,277.3,
2001-09-18,276.5,277.0,275.0,275.25,141,,,273.05,2001-09-18,851.1,336.04,
2001-09-19,268.0,268.75,267.0,268.0,129,,,272.45,2001-09-19,755.6,258.01,
2001-09-20,261.5,263.75,261.5,263.25,66,,,270.55,2001-09-20,771.03,276.31,
2001-09-21,266.5,267.0,265.25,265.75,122,,,268.95,2001-09-21,870.98,493.91,
2001-09-24,266.75,267.0,265.75,267.0,66,,,267.85,2001-09-24,789.36,510.2,
2001-09-25,267.25,267.5,266.0,267.0,32,,,266.0,2001-09-25,1045.6,703.49,
2001-09-26,270.75,272.0,270.75,270.75,75,,,266.55,2001-09-26,930.53,625.5,
2001-09-27,276.0,277.0,275.25,276.0,88,,,269.45,2001-09-27,786.58,474.56,
2001-09-28,275.0,275.0,273.75,274.25,75,,,271.15,2001-09-28,776.38,502.12,
2001-10-01,270.5,270.75,269.75,270.75,88,,,271.9,2001-10-01,617.37,419.52,
2001-10-02,266.0,267.5,265.5,266.0,88,,,271.65,2001-10-02,769.49,462.99,
2001-10-03,263.75,264.0,262.75,264.0,104,,,270.25,2001-10-03,818.96,450.87, U.S. Invades Afghanistan
2001-10-04,270.5,271.5,269.5,269.75,83,,,269.15,2001-10-04,702.59,417.6,
2001-10-05,272.5,273.5,272.5,273.0,120,,,268.65,2001-10-05,687.97,423.42,
2001-10-08,275.0,275.75,273.5,273.5,83,,,269.55,2001-10-08,616.22,336.18,
2001-10-09,272.75,272.75,271.25,272.0,38,,,270.9,2001-10-09,706.4,354.94,
2001-10-10,274.75,275.5,274.0,275.0,64,,,273.1,2001-10-10,566.55,288.43,
2001-10-11,279.25,279.5,279.0,279.0,151,,,274.85,2001-10-11,496.64,210.61,
2001-10-12,278.25,279.75,278.0,279.25,117,,,276.0,2001-10-12,588.47,211.35,
2001-10-15,274.5,276.25,274.5,275.5,36,,,275.9,2001-10-15,449.56,207.99,
